video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
C9ugeGKkUP0,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who leaders discuss covid pandemic developments with eu and un  watch live,Guardian News,News & Politics,none,3197,37,0,10,2020-10-25T19:31:07Z,"WHO,world health,world health organization,news,tedros,tedros adhanhom ghebreyesus,frank walter steinmeier,ursula von der leyen,health,pandemic,pandemic news,WHO live,world health live,coronavirus,coronavirus news,coronavirus measures,coronavirus latest,covid,covid-19,covid-19 news,corona,corona cases,coronavirus cases,world cases,world epidemic,epidemic,eu,europe,united nations,un news",PT1H52M52S,hd,False,https://i.ytimg.com/vi/C9ugeGKkUP0/default.jpg,https://www.youtube.com/watch?v=C9ugeGKkUP0
MWEDXZ9Jo1A,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who hold news conference on covid outbreak  watch live,Guardian News,News & Politics,none,35084,198,0,94,2020-03-06T16:59:15Z,"covid,covid-19,covid-19 coronavirus,covid-19 coronavirus latest,covid-19 coronavirus latest news,covid-19 coronavirus updates,WHO,WHO news,WHO news latest,WHO news briefing,WHO news briefing tedros,WHO tedros news,coronavirus latest,coronavirus death toll,coronavirus world death toll,coronavirus cases,coronavirus cases globally,coronavirus UK,world outbreak,covid-19 pandemic",PT54M46S,hd,False,https://i.ytimg.com/vi/MWEDXZ9Jo1A/default.jpg,https://www.youtube.com/watch?v=MWEDXZ9Jo1A
LYi0oVNQvpo,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who leaders provide update on covid pandemic  watch live,Guardian News,News & Politics,none,1810,14,0,1,2020-11-30T17:40:49Z,"coronavirus,covid,covid-19,pandemic,pandemic news,global pandemic,health organization,health organisation,world health,world health organisation,corona,corona news,coronavirus latest,coronavirus vaccin,coronavirus vaccine,vaccine,covid vaccine,covid-19 vaccine,treatment,coronavirus treatment,social distancing,covid cases,covid global,coronavirus cases,corornavirus news,health,vaccines,who",PT1H24M31S,hd,False,https://i.ytimg.com/vi/LYi0oVNQvpo/default.jpg,https://www.youtube.com/watch?v=LYi0oVNQvpo
NS6WNW_qYP8,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who experts hold briefing on covid pandemic  watch live,Guardian News,News & Politics,none,6680,108,0,28,2020-11-23T17:40:13Z,"WHO,world health organization,corona,coronavirus,covid,covid-19,lockdown,face mask,coronavirus pandemic,pandemic,coronavirus news,who live,covid latest,covid news,coronavirus latest,world health organisation,tedros,2020,coronavirus news live,live,who briefing live,guardian,covid 19,covid news live,coronavirus vaccines,g20,oxford vaccine,pfizer,moderna,vaccine,covid vaccine,coronavirus vaccine,coronavirus who,covid who,who update,who press conference,news",PT1H6M31S,hd,False,https://i.ytimg.com/vi/NS6WNW_qYP8/default.jpg,https://www.youtube.com/watch?v=NS6WNW_qYP8
TRYr03TQGrA,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who provides update on covid pandemic  watch live,Guardian News,News & Politics,none,4192,83,0,3,2020-12-04T18:02:33Z,"coronavirus,covid,covid 19,covid-19,coronavirus outbreak,coronavirus news,coronavirus update,coronavirus cases,vaccine,world,who,who coronavirus live,who briefing,2020,news,coronavirus latest,who live,coronavirus live,coronavirus live news,coronavirus death toll,coronavirus spread,Tedros Adhanom Ghebreyesus,who briefing live,covid live,coronavirus news live,who coronavirus update,who covid",PT1H26M26S,hd,False,https://i.ytimg.com/vi/TRYr03TQGrA/default.jpg,https://www.youtube.com/watch?v=TRYr03TQGrA
8LLSLSfbGIo,UCIRYBXDze5krPDzAEOxFGVA,who chief provides update on coronavirus pandemic  watch live,Guardian News,News & Politics,none,4384,50,0,26,2021-05-07T16:47:33Z,"2021,Tedros Adhanom Ghebreyesus,coronavirus,coronavirus cases,coronavirus latest,coronavirus live,coronavirus live news,coronavirus news,coronavirus outbreak,coronavirus spread,coronavirus update,covid,covid 19,covid outbreak,covid-19,guardian,live,pandemic,vaccine,vaccine rollout,virus,who,who briefing,who briefing live,who coronavirus live,who live,who press conference,who update live,covid news live,coronavirus news live,india,brazil,variants,mutations",PT1H32M6S,hd,False,https://i.ytimg.com/vi/8LLSLSfbGIo/default.jpg,https://www.youtube.com/watch?v=8LLSLSfbGIo
a3TaKAH33OE,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who chief gives briefing on latest pandemic developments  watch live,Guardian News,News & Politics,none,3744,52,0,6,2021-04-26T18:27:24Z,"astrazeneca,coronavirus,coronavirus news,coronavirus update,covid cases,covid vaccine,covid-19,guardian,johnson & johnson,live,moderna,pandemic,pfizer,tedros,unicef,vaccination,vaccine,vaccines,virus,who,who 2021,who briefing,who coronavirus update,who covid briefing,who covid live,who covid update,who covid-19,who live,who live briefing,who press conference,world,world health organization,who briefing on covid 19,who briefing today,world health organisation",PT38M41S,hd,False,https://i.ytimg.com/vi/a3TaKAH33OE/default.jpg,https://www.youtube.com/watch?v=a3TaKAH33OE
YPaQL3ECgHo,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who leaders provide update on covid pandemic  watch live,Guardian News,News & Politics,none,9497,55,0,14,2020-11-27T18:39:15Z,"who,world health organization,corona,coronavirus,covid,covid 19,covid-19,covid news,covid update,coronavirus news,vaccine,covid vaccine,who live,tedros,2020,coronavirus news live,covid news live,covid live,who press conference,pfizer,who briefing live,oxford vaccine,coronavirus vaccine,lockdown,world coronavirus news,moderna,biontech,live,coronavirus update,guardian,covid vaccine news,vaccine nationalism,hacking,covid vaccine update,pandemic,outbreak,symptom",PT1H48M25S,hd,False,https://i.ytimg.com/vi/YPaQL3ECgHo/default.jpg,https://www.youtube.com/watch?v=YPaQL3ECgHo
ylqh2ProPkA,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who leaders answer questions on covid pandemic  watch live,Guardian News,News & Politics,none,1969,25,0,2,2021-01-06T18:18:58Z,"coronavirus,covid,climate,europe,uk,coronavirus latest,who,world health organization,health,who live,vaccine,vaccine rollout,vaccine latest,covid-19,covid latest,virus,virus vaccine,restrictions,transmission,virus transmission,medecine news,pandemic,coronavirus pandemic,covid news,uk variant,south africa variant,guardian,news,live,Dr Mike Ryan,Dr Maria Van Kerkhove,covid-19 pandemic,world",PT1H39M1S,hd,False,https://i.ytimg.com/vi/ylqh2ProPkA/default.jpg,https://www.youtube.com/watch?v=ylqh2ProPkA
26iWUiSHYtg,UCIRYBXDze5krPDzAEOxFGVA,coronavirus who holds briefing on covid outbreak  as it happened,Guardian News,News & Politics,none,24037,88,0,51,2020-02-28T16:53:19Z,"coronavirus,coronavirus outbreak,coronavirus outbreak latest,coronavirus outbreak latest news,coronavirus death toll,coronavirus britain,coronavirus uk,coronavirus WHO,WHO latest,WHO latest news,WHO updates,Covid-19,Covid-19 latest,Covid-19 news,Covid-19 updates,Covid-19 update,tedros,tedros news,viral outbreak",PT1H19M51S,hd,False,https://i.ytimg.com/vi/26iWUiSHYtg/default.jpg,https://www.youtube.com/watch?v=26iWUiSHYtg
