video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
cOzHF_tHHr4,UCaXkIU1QidjPwiAYu6GcHjg,researchers hopeful a coronavirus vaccine will be available next year  the last word  msnbc,MSNBC,News & Politics,none,868428,5010,0,2055,2020-04-14T04:05:10Z,"Vaccinations,Coronavirus,The Last Word with Lawrence O'Donnell,Last Word,The Last Word,Lawrence O'Donnell,MSNBC,MSNBC News,MSNBC Live,Current Events,Progressive News,Liberal News,lawrence odonnell,lawrence odonnell live,news,Researchers,Researchers Hopeful,Coronavirus Vaccine,Scientists,develop a vaccine,vaccine for coronavirus,Dr. Zeke Emanuel,science behind vaccines,unique challenge,coronavirus outbreak,COVID-19,pandemic,outbreak,coronavirus pandemic",PT3M42S,hd,True,https://i.ytimg.com/vi/cOzHF_tHHr4/default.jpg,https://www.youtube.com/watch?v=cOzHF_tHHr4
szORuX9KVc4,UCaXkIU1QidjPwiAYu6GcHjg,rosy outlook from trump on coronavirus pandemics deadliest day in us  the th hour  msnbc,MSNBC,News & Politics,none,1025455,6238,0,4617,2020-04-16T04:56:13Z,"News,Republicans,National Security,Health,Healthcare,Politics,White House,Brian Williams,Donald Trump,Best of last night,Global Health,Coronavirus,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,cdc,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,covid-19 news,covid-19 updates,covid-19 outbreak,corona",PT8M45S,hd,True,https://i.ytimg.com/vi/szORuX9KVc4/default.jpg,https://www.youtube.com/watch?v=szORuX9KVc4
TySmb2_kZj0,UCaXkIU1QidjPwiAYu6GcHjg,bill gates on how quickly we could see a coronavirus vaccine  msnbc,MSNBC,News & Politics,none,1351372,8262,0,13794,2020-04-24T03:48:23Z,"News,National Security,Best of last night,Global Health,Coronavirus,msnbc,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,cdc,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,corona,Bill Gates,Coronavirus Vaccine",PT4M2S,hd,True,https://i.ytimg.com/vi/TySmb2_kZj0/default.jpg,https://www.youtube.com/watch?v=TySmb2_kZj0
EOoLhDCRT3U,UCaXkIU1QidjPwiAYu6GcHjg,trumps airing of propaganda video during coronavirus briefing is act of disinformation  msnbc,MSNBC,News & Politics,none,791580,10948,0,6098,2020-04-14T10:33:20Z,"MSNBC,news,coronavirus,coronavirus update,coronavirus us,coronavirus news,coronavirus latest news,coronavirus symptoms,cdc,center for disease control,quarantine,symptoms,social distancing,virus protection,outbreak,coronavirus outbreak,COVID-19,pandemic,coronavirus pandemic,coronavirus prevention,coronavirus explained,covid-19 news,covid-19 updates,covid-19 outbreak,corona,Coronavirus Briefing,New York Times report,Trump’s Airing,latest politics",PT6M12S,hd,False,https://i.ytimg.com/vi/EOoLhDCRT3U/default.jpg,https://www.youtube.com/watch?v=EOoLhDCRT3U
ulwV65DBTI4,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus excess deaths of  in uk during covid pandemic,Sky News,News & Politics,none,505797,1987,0,1399,2020-05-26T18:32:43Z,"coronavirus,covid-19,uk,sky,news,latest,update,statistic,statistics,death,toll,deaths,excess,ons,office,for,national,explained,explainer,figures,how many,how many people have died from coronavirus,united,kingdom,wales,scotland,ireland,northern,england,dead,nhs,health,pandemic,epidemic,mortality,rate,covid19,covid,corona,virus,covid 19,outbreak,care,homes,community,hospital",PT2M26S,hd,False,https://i.ytimg.com/vi/ulwV65DBTI4/default.jpg,https://www.youtube.com/watch?v=ulwV65DBTI4
uFT_i7EHh6U,UCoMdktPbSTixAyNGwb-UYkQ,covid inside wuhans coronavirus hospital,Sky News,News & Politics,none,386295,1276,0,282,2020-02-26T15:49:15Z,"china,wuhan,covid,19,coronavirus,virus,infected,kill,disease,death,dead,hospital,Li Xiaoxiong,sky,news,tom cheshire",PT3M37S,hd,False,https://i.ytimg.com/vi/uFT_i7EHh6U/default.jpg,https://www.youtube.com/watch?v=uFT_i7EHh6U
eLgbpnILYyQ,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus americas reckoning,Sky News,News & Politics,none,431725,3785,0,1206,2020-04-23T20:17:53Z,"sky,sky news,news,coronavirus,covid,covid-19,social distancing,stay safe,wash your hands,america,us,united states of america,donald trump,president trump,president,election,washington,white house,how many people have got coronavirus,andrew cuomo,new york,quarantine,boris johnson,the donald,virus,chinese virus,invisible enemy,fake news,deaths,dying,healthcare,obamacare,unemployment,furlough,america's reckoning,cordelia lynch",PT44M5S,hd,False,https://i.ytimg.com/vi/eLgbpnILYyQ/default.jpg,https://www.youtube.com/watch?v=eLgbpnILYyQ
eyLkkJU34Ws,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus how to contain a global pandemic,Sky News,News & Politics,none,20708,203,0,63,2020-02-25T18:47:57Z,"NEWS,SKY NEWS,NEWS.SKY.COM,SKYNEWS.COM,SKY,sars,bird flu,mers,coronavirus,virus,china,wuhan,wuhan virus,symptoms,coronavirus advice,outbreak,pandemic,treatment,diagnosis,chinese,respiratory,fever,travel,quarantine,medicine,viral infection,epidemic,is coronavirus dangerous,what is coronavirus,covid19,covid,coronavirus uk,prevention,superspreader,self isolation,death toll,coronavirus symptoms,que es coronavirus,china virus,tenerife,coronavirus update,italy,borders",PT3M15S,hd,False,https://i.ytimg.com/vi/eyLkkJU34Ws/default.jpg,https://www.youtube.com/watch?v=eyLkkJU34Ws
8IrZdoSiO38,UCoMdktPbSTixAyNGwb-UYkQ,special report coronavirus the home front,Sky News,News & Politics,none,80585,671,0,66,2020-06-08T15:21:18Z,"SKY,NEWS,LIVE,CORONAVIRUS,LONG FORM,JOURNALISM,DOCUMENTARY,ALEX,CRAWFORD,COVID-19,PANDEMIC,DISEASE,ILLNESS,ICU,HOSPITAL,RELIGION,SIKH,TEMPLE,NURSES,DOCTORS,PATIENTS,PPE,MASKS,SAFETY,LOCKDOWN,LIFE,RESTRICTIONS,SOCIAL DISTANCING,QUARANTINE,ISOLATING,ECONOMY,FEARS,PERSONAL STORIES,CHARITY,UK,UNITED,KINGDOM,BRITAIN,SCOTLAND,IRELAND,ENGLAND,NORTHERN,MIDLANDS,LONDON,BRITISH,GREAT BRITAIN,NHS,HEALTH,VIRUS,CORONA,COVID19",PT44M52S,hd,False,https://i.ytimg.com/vi/8IrZdoSiO38/default.jpg,https://www.youtube.com/watch?v=8IrZdoSiO38
tB5gzzk5xj0,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus arrives in the uk,Sky News,News & Politics,none,509554,5274,0,0,2020-01-31T20:16:17Z,"NEWS,SKY NEWS,NEWS.SKY.COM,SKYNEWS.COM,SKY,sars,bird flu,mers,coronavirus,virus,china,wuhan,wuhan virus,wuhan virus uk,symptoms,coronovirus symptons,coronavirus advice,outbreak,pandemic,super-spreader,lockdown,treatment,diagnosis,chinese,hong kong,humans,transmitted,respiratory,zoonotic,fever,seafood market,travel,lunar new year,quarantine,vaccines,medicine,viral infection,health emergency,epidemic,is coronavirus dangerous,what is coronavirus,uk coronavirus",PT3M2S,hd,False,https://i.ytimg.com/vi/tB5gzzk5xj0/default.jpg,https://www.youtube.com/watch?v=tB5gzzk5xj0
ennCEsGuWao,UCoMdktPbSTixAyNGwb-UYkQ,covid us lab leak claim opens up debate on coronavirus origins,Sky News,News & Politics,none,32548,265,0,278,2023-02-27T21:05:23Z,"news,coronavirus,coronavirus update,covid 19,covid cases,covid 19 cases,omicron,omicron variant,omicron symptoms,omicron covid 19,covid 19 omicron,covid 19 variant,new covid 19 variant,coronavirus variant,omicron meaning,covid omicron variant,SKY NEWS,SKY NEWS LATEST,HEALTH,SKY NEWS LIVE,UK,UK NEWS,lab leak theory,natural spillover theory,wuhan laboratory,conspiracy",PT2M15S,hd,False,https://i.ytimg.com/vi/ennCEsGuWao/default.jpg,https://www.youtube.com/watch?v=ennCEsGuWao
_eJ78E20DsE,UCoMdktPbSTixAyNGwb-UYkQ,covid one year on since coronavirus was first noticed,Sky News,News & Politics,none,15516,126,0,89,2020-12-06T23:28:22Z,"SKY,SKY NEWS,SKY NEWS LIVE,GOVERNMENT,GOVERNMENT BRIEFING,COVID UPDATE,COVID-19,COVID,COVID LATEST,CORONAVIRUS UPDATE,MATT HANCOCK,HEALTH SECRETARY,NEWS,COVID NEWS,CORONAVIRUS,CORONAVIRUS LATEST,CORONAVIRUS NEWS,PANDEMIC,FLU,HEALTH,NHS,NATIONAL HEALTH SERVICE,DISEASE,VACCINE,COVID VACCINE,CORONAVIRUS VACCINE,TESTING,COVID TEST,CORONAVIRUS TEST,COVID-19 TEST,COVID19,test and trace,Professor Chuang Yin-ching,Taiwan,China,kungflu",PT2M55S,hd,False,https://i.ytimg.com/vi/_eJ78E20DsE/default.jpg,https://www.youtube.com/watch?v=_eJ78E20DsE
A4taiomJ1qE,UCoMdktPbSTixAyNGwb-UYkQ,coronavirus outbreak  more covid deaths in uk,Sky News,News & Politics,none,1309509,4210,0,1881,2020-04-03T13:34:55Z,"SKY NEWS,SKY,NEWS,LIVE,CORONAVIRUS,COVID-19,COVID19,DEATHS,UK,UNITED KINGDOM,ENGLAND,SCOTLAND,WALES,TESTING,BORIS JOHNSON,PRIME MINISTER,PANDEMIC,EPEDEMIC,EUROPE,RISE,INCREASE,HEALTH,NHS",PT2M16S,hd,False,https://i.ytimg.com/vi/A4taiomJ1qE/default.jpg,https://www.youtube.com/watch?v=A4taiomJ1qE
